user_id,recency_days,order_count,total_spent,r_score,f_score,m_score,rfm_label
U000100,8.0,4.0,7663.9400000000005,5.0,4.0,3.0,潜力用户
U000101,38.0,5.0,19710.55,3.0,5.0,5.0,潜力用户
U000102,0.0,4.0,30611.91,5.0,4.0,5.0,高价值用户
U000103,74.0,2.0,20535.62,2.0,2.0,5.0,流失风险用户
U000104,114.0,1.0,625.95,1.0,1.0,1.0,流失风险用户
U000105,40.0,4.0,30976.05,3.0,4.0,5.0,潜力用户
U000106,6.0,4.0,10729.74,5.0,4.0,4.0,高价值用户
U000107,35.0,4.0,6991.280000000001,3.0,4.0,3.0,潜力用户
U000108,45.0,1.0,446.1,3.0,1.0,1.0,一般用户
U000109,32.0,3.0,7021.42,3.0,3.0,3.0,潜力用户
U000110,39.0,3.0,8236.119999999999,3.0,3.0,4.0,潜力用户
U000111,0.0,6.0,25677.7,5.0,5.0,5.0,高价值用户
U000112,46.0,6.0,10339.05,3.0,5.0,4.0,潜力用户
U000113,47.0,5.0,7014.96,3.0,5.0,3.0,潜力用户
U000114,14.0,4.0,9862.119999999999,4.0,4.0,4.0,高价值用户
U000115,4.0,4.0,6457.22,5.0,4.0,3.0,潜力用户
U000116,131.0,1.0,727.96,1.0,1.0,1.0,流失风险用户
U000117,30.0,3.0,7242.52,4.0,3.0,3.0,潜力用户
U000118,15.0,6.0,26885.81,4.0,5.0,5.0,高价值用户
U000119,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000120,107.0,2.0,5577.599999999999,1.0,2.0,3.0,流失风险用户
U000121,13.0,4.0,13213.23,5.0,4.0,4.0,高价值用户
U000122,49.0,3.0,26428.51,3.0,3.0,5.0,潜力用户
U000123,60.0,2.0,8282.92,2.0,2.0,4.0,流失风险用户
U000124,67.0,3.0,8277.55,2.0,3.0,4.0,一般用户
U000125,10.0,3.0,1856.81,5.0,3.0,2.0,潜力用户
U000126,3.0,6.0,29514.84,5.0,5.0,5.0,高价值用户
U000127,37.0,1.0,475.64,3.0,1.0,1.0,一般用户
U000128,56.0,5.0,11753.64,2.0,5.0,4.0,一般用户
U000129,9.0,13.0,45768.409999999996,5.0,5.0,5.0,高价值用户
U000130,114.0,2.0,3488.46,1.0,2.0,2.0,流失风险用户
U000131,26.0,4.0,20202.63,4.0,4.0,5.0,高价值用户
U000132,14.0,3.0,19651.93,4.0,3.0,5.0,潜力用户
U000133,14.0,6.0,13785.94,4.0,5.0,4.0,高价值用户
U000134,19.0,4.0,5324.099999999999,4.0,4.0,3.0,潜力用户
U000135,27.0,2.0,3093.34,4.0,2.0,2.0,一般用户
U000136,17.0,5.0,7177.76,4.0,5.0,3.0,潜力用户
U000137,92.0,2.0,17845.710000000003,2.0,2.0,5.0,流失风险用户
U000138,47.0,2.0,2423.33,3.0,2.0,2.0,一般用户
U000139,0.0,6.0,13597.47,5.0,5.0,4.0,高价值用户
U000140,62.0,5.0,35207.32,2.0,5.0,5.0,一般用户
U000141,48.0,6.0,23684.329999999998,3.0,5.0,5.0,潜力用户
U000142,17.0,5.0,6341.860000000001,4.0,5.0,3.0,潜力用户
U000143,151.0,1.0,1257.73,1.0,1.0,1.0,流失风险用户
U000144,2.0,3.0,4355.27,5.0,3.0,3.0,潜力用户
U000145,7.0,2.0,2160.03,5.0,2.0,2.0,一般用户
U000146,148.0,1.0,905.98,1.0,1.0,1.0,流失风险用户
U000147,143.0,2.0,4046.39,1.0,2.0,2.0,流失风险用户
U000148,63.0,4.0,28628.54,2.0,4.0,5.0,一般用户
U000149,46.0,1.0,1304.9,3.0,1.0,1.0,一般用户
U000150,12.0,3.0,3249.88,5.0,3.0,2.0,潜力用户
U000151,62.0,1.0,780.43,2.0,1.0,1.0,流失风险用户
U000152,22.0,3.0,16668.28,4.0,3.0,5.0,潜力用户
U000153,7.0,6.0,6838.21,5.0,5.0,3.0,潜力用户
U000154,21.0,7.0,21444.88,4.0,5.0,5.0,高价值用户
U000155,138.0,2.0,1707.2,1.0,2.0,1.0,流失风险用户
U000156,45.0,1.0,1356.97,3.0,1.0,1.0,一般用户
U000157,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000158,123.0,1.0,534.32,1.0,1.0,1.0,流失风险用户
U000159,4.0,5.0,4052.4,5.0,5.0,2.0,潜力用户
U000160,5.0,5.0,10026.76,5.0,5.0,4.0,高价值用户
U000161,4.0,9.0,32363.46,5.0,5.0,5.0,高价值用户
U000162,40.0,5.0,7957.51,3.0,5.0,4.0,潜力用户
U000163,35.0,1.0,438.17,3.0,1.0,1.0,一般用户
U000164,53.0,4.0,3735.29,3.0,4.0,2.0,潜力用户
U000165,59.0,3.0,4351.5,2.0,3.0,3.0,一般用户
U000166,40.0,3.0,6210.6,3.0,3.0,3.0,潜力用户
U000167,85.0,1.0,664.45,2.0,1.0,1.0,流失风险用户
U000168,129.0,2.0,2542.26,1.0,2.0,2.0,流失风险用户
U000169,157.0,1.0,8939.25,1.0,1.0,4.0,流失风险用户
U000170,99.0,1.0,10641.35,1.0,1.0,4.0,流失风险用户
U000171,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000172,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000173,1.0,5.0,19176.13,5.0,5.0,5.0,高价值用户
U000174,17.0,3.0,9153.61,4.0,3.0,4.0,潜力用户
U000175,21.0,3.0,40275.9,4.0,3.0,5.0,潜力用户
U000176,100.0,3.0,3567.6,1.0,3.0,2.0,一般用户
U000177,23.0,3.0,23655.78,4.0,3.0,5.0,潜力用户
U000178,39.0,3.0,4278.13,3.0,3.0,3.0,潜力用户
U000179,48.0,4.0,7504.68,3.0,4.0,3.0,潜力用户
U000180,56.0,4.0,4223.07,2.0,4.0,3.0,一般用户
U000181,119.0,1.0,510.31,1.0,1.0,1.0,流失风险用户
U000182,36.0,4.0,2456.87,3.0,4.0,2.0,潜力用户
U000183,9.0,3.0,9263.33,5.0,3.0,4.0,潜力用户
U000184,24.0,2.0,1594.46,4.0,2.0,1.0,一般用户
U000185,123.0,1.0,5710.99,1.0,1.0,3.0,流失风险用户
U000186,110.0,4.0,6158.68,1.0,4.0,3.0,一般用户
U000187,29.0,5.0,25473.329999999998,4.0,5.0,5.0,高价值用户
U000188,138.0,1.0,1606.33,1.0,1.0,1.0,流失风险用户
U000189,28.0,1.0,330.0,4.0,1.0,1.0,一般用户
U000190,23.0,6.0,14713.57,4.0,5.0,4.0,高价值用户
U000191,22.0,4.0,21992.2,4.0,4.0,5.0,高价值用户
U000192,3.0,1.0,1640.13,5.0,1.0,1.0,一般用户
U000193,3.0,6.0,8907.289999999999,5.0,5.0,4.0,高价值用户
U000194,43.0,3.0,19305.49,3.0,3.0,5.0,潜力用户
U000195,11.0,4.0,63148.96,5.0,4.0,5.0,高价值用户
U000196,103.0,4.0,7535.889999999999,1.0,4.0,3.0,一般用户
U000197,24.0,5.0,8502.15,4.0,5.0,4.0,高价值用户
U000198,62.0,2.0,4435.610000000001,2.0,2.0,3.0,流失风险用户
U000199,7.0,5.0,13834.92,5.0,5.0,4.0,高价值用户
U000200,92.0,3.0,6059.66,2.0,3.0,3.0,一般用户
U000201,59.0,2.0,5805.37,2.0,2.0,3.0,流失风险用户
U000202,47.0,1.0,1345.21,3.0,1.0,1.0,一般用户
U000203,14.0,4.0,6580.18,4.0,4.0,3.0,潜力用户
U000204,28.0,2.0,23248.25,4.0,2.0,5.0,一般用户
U000205,29.0,4.0,22027.12,4.0,4.0,5.0,高价值用户
U000206,16.0,2.0,4345.84,4.0,2.0,3.0,一般用户
U000207,26.0,3.0,6332.44,4.0,3.0,3.0,潜力用户
U000208,1.0,1.0,1783.9,5.0,1.0,1.0,一般用户
U000209,83.0,2.0,2574.09,2.0,2.0,2.0,流失风险用户
U000210,1.0,3.0,6473.639999999999,5.0,3.0,3.0,潜力用户
U000211,22.0,3.0,16393.34,4.0,3.0,5.0,潜力用户
U000212,6.0,6.0,6465.75,5.0,5.0,3.0,潜力用户
U000213,73.0,4.0,24740.36,2.0,4.0,5.0,一般用户
U000214,53.0,5.0,31604.53,3.0,5.0,5.0,潜力用户
U000215,44.0,4.0,10565.599999999999,3.0,4.0,4.0,潜力用户
U000216,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000217,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000218,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000219,0.0,6.0,9829.08,5.0,5.0,4.0,高价值用户
U000220,122.0,3.0,4687.75,1.0,3.0,3.0,一般用户
U000221,36.0,4.0,8447.69,3.0,4.0,4.0,潜力用户
U000222,62.0,1.0,871.37,2.0,1.0,1.0,流失风险用户
U000223,21.0,2.0,3316.55,4.0,2.0,2.0,一般用户
U000224,10.0,2.0,1269.3,5.0,2.0,1.0,一般用户
U000225,14.0,4.0,5774.33,4.0,4.0,3.0,潜力用户
U000226,139.0,1.0,687.76,1.0,1.0,1.0,流失风险用户
U000227,10.0,2.0,3917.0200000000004,5.0,2.0,2.0,一般用户
U000228,9.0,7.0,6685.5,5.0,5.0,3.0,潜力用户
U000229,27.0,5.0,5790.76,4.0,5.0,3.0,潜力用户
U000230,10.0,4.0,18856.670000000002,5.0,4.0,5.0,高价值用户
U000231,26.0,3.0,6731.23,4.0,3.0,3.0,潜力用户
U000232,42.0,5.0,15852.75,3.0,5.0,5.0,潜力用户
U000233,111.0,1.0,1478.6,1.0,1.0,1.0,流失风险用户
U000234,12.0,7.0,31425.440000000002,5.0,5.0,5.0,高价值用户
U000235,57.0,3.0,14281.1,2.0,3.0,4.0,一般用户
U000236,21.0,4.0,11077.75,4.0,4.0,4.0,高价值用户
U000237,3.0,6.0,7531.48,5.0,5.0,3.0,潜力用户
U000238,14.0,3.0,2739.33,4.0,3.0,2.0,潜力用户
U000239,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000240,23.0,4.0,4509.65,4.0,4.0,3.0,潜力用户
U000241,108.0,4.0,27541.829999999998,1.0,4.0,5.0,一般用户
U000242,117.0,2.0,3980.1,1.0,2.0,2.0,流失风险用户
U000243,88.0,1.0,29013.75,2.0,1.0,5.0,流失风险用户
U000244,49.0,6.0,12739.19,3.0,5.0,4.0,潜力用户
U000245,2.0,3.0,8605.75,5.0,3.0,4.0,潜力用户
U000246,102.0,2.0,1788.98,1.0,2.0,1.0,流失风险用户
U000247,52.0,5.0,8863.51,3.0,5.0,4.0,潜力用户
U000248,25.0,3.0,7817.2,4.0,3.0,4.0,潜力用户
U000249,72.0,2.0,13112.73,2.0,2.0,4.0,流失风险用户
U000250,5.0,3.0,16091.38,5.0,3.0,5.0,潜力用户
U000251,73.0,3.0,35625.91,2.0,3.0,5.0,一般用户
U000252,67.0,2.0,4758.719999999999,2.0,2.0,3.0,流失风险用户
U000253,88.0,4.0,4745.71,2.0,4.0,3.0,一般用户
U000254,100.0,3.0,9562.96,1.0,3.0,4.0,一般用户
U000255,23.0,2.0,4519.37,4.0,2.0,3.0,一般用户
U000256,66.0,2.0,7165.889999999999,2.0,2.0,3.0,流失风险用户
U000257,10.0,2.0,3301.87,5.0,2.0,2.0,一般用户
U000258,28.0,4.0,30172.73,4.0,4.0,5.0,高价值用户
U000259,47.0,6.0,11682.130000000001,3.0,5.0,4.0,潜力用户
U000260,103.0,3.0,9766.77,1.0,3.0,4.0,一般用户
U000261,7.0,7.0,26801.2,5.0,5.0,5.0,高价值用户
U000262,106.0,1.0,2545.46,1.0,1.0,2.0,流失风险用户
U000263,127.0,2.0,12249.22,1.0,2.0,4.0,流失风险用户
U000264,48.0,5.0,4769.97,3.0,5.0,3.0,潜力用户
U000265,55.0,1.0,23043.78,3.0,1.0,5.0,一般用户
U000266,40.0,3.0,6725.25,3.0,3.0,3.0,潜力用户
U000267,8.0,3.0,3878.9,5.0,3.0,2.0,潜力用户
U000268,9.0,4.0,12918.23,5.0,4.0,4.0,高价值用户
U000269,63.0,2.0,7572.799999999999,2.0,2.0,3.0,流失风险用户
U000270,27.0,4.0,5328.99,4.0,4.0,3.0,潜力用户
U000271,27.0,3.0,17862.370000000003,4.0,3.0,5.0,潜力用户
U000272,62.0,4.0,4107.1,2.0,4.0,2.0,一般用户
U000273,56.0,2.0,2377.48,2.0,2.0,2.0,流失风险用户
U000274,3.0,5.0,16933.600000000002,5.0,5.0,5.0,高价值用户
U000275,138.0,2.0,2123.1000000000004,1.0,2.0,2.0,流失风险用户
U000276,22.0,3.0,8095.04,4.0,3.0,4.0,潜力用户
U000277,113.0,1.0,18976.59,1.0,1.0,5.0,流失风险用户
U000278,48.0,6.0,19329.01,3.0,5.0,5.0,潜力用户
U000279,25.0,5.0,4473.780000000001,4.0,5.0,3.0,潜力用户
U000280,15.0,4.0,23483.31,4.0,4.0,5.0,高价值用户
U000281,109.0,2.0,1479.73,1.0,2.0,1.0,流失风险用户
U000282,46.0,2.0,9950.74,3.0,2.0,4.0,一般用户
U000283,27.0,3.0,5152.25,4.0,3.0,3.0,潜力用户
U000284,142.0,3.0,2953.85,1.0,3.0,2.0,一般用户
U000285,14.0,5.0,4051.44,4.0,5.0,2.0,潜力用户
U000286,27.0,5.0,22185.34,4.0,5.0,5.0,高价值用户
U000287,49.0,4.0,5685.860000000001,3.0,4.0,3.0,潜力用户
U000288,53.0,3.0,2207.72,3.0,3.0,2.0,潜力用户
U000289,9.0,3.0,3164.86,5.0,3.0,2.0,潜力用户
U000290,77.0,4.0,10717.99,2.0,4.0,4.0,一般用户
U000291,8.0,4.0,8160.09,5.0,4.0,4.0,高价值用户
U000292,14.0,3.0,4454.24,4.0,3.0,3.0,潜力用户
U000293,23.0,5.0,5267.700000000001,4.0,5.0,3.0,潜力用户
U000294,84.0,4.0,5072.32,2.0,4.0,3.0,一般用户
U000295,22.0,3.0,15260.399999999998,4.0,3.0,4.0,潜力用户
U000296,74.0,1.0,112.28,2.0,1.0,1.0,流失风险用户
U000297,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000298,13.0,4.0,28089.32,5.0,4.0,5.0,高价值用户
U000299,110.0,1.0,11472.6,1.0,1.0,4.0,流失风险用户
U000300,120.0,1.0,2302.02,1.0,1.0,2.0,流失风险用户
U000301,12.0,4.0,4340.01,5.0,4.0,3.0,潜力用户
U000302,43.0,2.0,1683.87,3.0,2.0,1.0,一般用户
U000303,37.0,4.0,5261.31,3.0,4.0,3.0,潜力用户
U000304,51.0,3.0,9678.3,3.0,3.0,4.0,潜力用户
U000305,24.0,4.0,6337.139999999999,4.0,4.0,3.0,潜力用户
U000306,25.0,4.0,4941.58,4.0,4.0,3.0,潜力用户
U000307,39.0,2.0,2041.63,3.0,2.0,2.0,一般用户
U000308,31.0,2.0,5878.96,3.0,2.0,3.0,一般用户
U000309,92.0,2.0,2432.56,2.0,2.0,2.0,流失风险用户
U000310,13.0,4.0,9034.14,5.0,4.0,4.0,高价值用户
U000311,45.0,5.0,8417.2,3.0,5.0,4.0,潜力用户
U000312,1.0,5.0,19790.79,5.0,5.0,5.0,高价值用户
U000313,42.0,3.0,3830.4400000000005,3.0,3.0,2.0,潜力用户
U000314,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000315,37.0,3.0,22869.67,3.0,3.0,5.0,潜力用户
U000316,45.0,3.0,15702.75,3.0,3.0,5.0,潜力用户
U000317,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000318,54.0,2.0,2815.94,3.0,2.0,2.0,一般用户
U000319,73.0,2.0,3369.37,2.0,2.0,2.0,流失风险用户
U000320,12.0,2.0,22599.620000000003,5.0,2.0,5.0,一般用户
U000321,16.0,1.0,3479.75,4.0,1.0,2.0,一般用户
U000322,6.0,3.0,6541.72,5.0,3.0,3.0,潜力用户
U000323,120.0,4.0,8388.550000000001,1.0,4.0,4.0,一般用户
U000324,152.0,1.0,880.36,1.0,1.0,1.0,流失风险用户
U000325,0.0,6.0,35539.92,5.0,5.0,5.0,高价值用户
U000326,2.0,4.0,29575.7,5.0,4.0,5.0,高价值用户
U000327,28.0,3.0,15566.52,4.0,3.0,4.0,潜力用户
U000328,5.0,5.0,25388.33,5.0,5.0,5.0,高价值用户
U000329,12.0,5.0,5986.8,5.0,5.0,3.0,潜力用户
U000330,56.0,5.0,16759.11,2.0,5.0,5.0,一般用户
U000331,20.0,2.0,7752.55,4.0,2.0,3.0,一般用户
U000332,107.0,2.0,5653.030000000001,1.0,2.0,3.0,流失风险用户
U000333,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000334,7.0,3.0,1134.69,5.0,3.0,1.0,潜力用户
U000335,52.0,5.0,13740.22,3.0,5.0,4.0,潜力用户
U000336,89.0,3.0,2028.26,2.0,3.0,2.0,一般用户
U000337,31.0,1.0,755.46,3.0,1.0,1.0,一般用户
U000338,127.0,1.0,1076.74,1.0,1.0,1.0,流失风险用户
U000339,80.0,5.0,12644.68,2.0,5.0,4.0,一般用户
U000340,4.0,6.0,18215.03,5.0,5.0,5.0,高价值用户
U000341,29.0,4.0,13961.58,4.0,4.0,4.0,高价值用户
U000342,22.0,1.0,1009.48,4.0,1.0,1.0,一般用户
U000343,27.0,6.0,25024.87,4.0,5.0,5.0,高价值用户
U000344,107.0,1.0,1510.26,1.0,1.0,1.0,流失风险用户
U000345,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000346,30.0,3.0,27312.83,4.0,3.0,5.0,潜力用户
U000347,17.0,1.0,156.11,4.0,1.0,1.0,一般用户
U000348,79.0,2.0,5451.88,2.0,2.0,3.0,流失风险用户
U000349,21.0,7.0,17522.36,4.0,5.0,5.0,高价值用户
U000350,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000351,172.0,1.0,7773.21,1.0,1.0,4.0,流失风险用户
U000352,1.0,5.0,8502.55,5.0,5.0,4.0,高价值用户
U000353,25.0,3.0,7457.63,4.0,3.0,3.0,潜力用户
U000354,18.0,5.0,36470.75,4.0,5.0,5.0,高价值用户
U000355,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000356,8.0,1.0,144.08,5.0,1.0,1.0,一般用户
U000357,75.0,2.0,1830.79,2.0,2.0,2.0,流失风险用户
U000358,52.0,1.0,3000.68,3.0,1.0,2.0,一般用户
U000359,15.0,1.0,1396.13,4.0,1.0,1.0,一般用户
U000360,22.0,3.0,7610.72,4.0,3.0,3.0,潜力用户
U000361,33.0,3.0,21413.42,3.0,3.0,5.0,潜力用户
U000362,82.0,3.0,9313.6,2.0,3.0,4.0,一般用户
U000363,44.0,7.0,14509.56,3.0,5.0,4.0,潜力用户
U000364,1.0,2.0,2902.89,5.0,2.0,2.0,一般用户
U000365,49.0,2.0,1205.53,3.0,2.0,1.0,一般用户
U000366,122.0,3.0,4288.86,1.0,3.0,3.0,一般用户
U000367,44.0,4.0,10899.779999999999,3.0,4.0,4.0,潜力用户
U000368,14.0,2.0,29474.48,4.0,2.0,5.0,一般用户
U000369,103.0,1.0,14208.05,1.0,1.0,4.0,流失风险用户
U000370,149.0,2.0,2875.9,1.0,2.0,2.0,流失风险用户
U000371,70.0,2.0,1207.75,2.0,2.0,1.0,流失风险用户
U000372,106.0,2.0,2884.5,1.0,2.0,2.0,流失风险用户
U000373,49.0,4.0,4230.17,3.0,4.0,3.0,潜力用户
U000374,180.0,1.0,2718.57,1.0,1.0,2.0,流失风险用户
U000375,12.0,1.0,7030.61,5.0,1.0,3.0,一般用户
U000376,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000377,2.0,9.0,12208.64,5.0,5.0,4.0,高价值用户
U000378,54.0,2.0,4381.610000000001,3.0,2.0,3.0,一般用户
U000379,0.0,3.0,13464.220000000001,5.0,3.0,4.0,潜力用户
U000380,119.0,2.0,3554.1899999999996,1.0,2.0,2.0,流失风险用户
U000381,2.0,3.0,2812.33,5.0,3.0,2.0,潜力用户
U000382,133.0,1.0,7701.23,1.0,1.0,3.0,流失风险用户
U000383,30.0,5.0,4893.94,4.0,5.0,3.0,潜力用户
U000384,150.0,1.0,6744.93,1.0,1.0,3.0,流失风险用户
U000385,8.0,2.0,9671.630000000001,5.0,2.0,4.0,一般用户
U000386,53.0,5.0,34154.3,3.0,5.0,5.0,潜力用户
U000387,147.0,4.0,7778.5,1.0,4.0,4.0,一般用户
U000388,103.0,3.0,4323.68,1.0,3.0,3.0,一般用户
U000389,16.0,7.0,13781.91,4.0,5.0,4.0,高价值用户
U000390,82.0,1.0,545.71,2.0,1.0,1.0,流失风险用户
U000391,180.0,0.0,0.0,1.0,1.0,1.0,流失风险用户
U000392,87.0,1.0,11318.61,2.0,1.0,4.0,流失风险用户
U000393,10.0,5.0,33829.56,5.0,5.0,5.0,高价值用户
U000394,97.0,3.0,2524.0,2.0,3.0,2.0,一般用户
